,0.001,0.013250000000000001,0.025500000000000002,0.037750000000000006,0.05
0,0.875,0.825,0.9,0.85,0.875
1,0.775,0.8,0.9,0.8,0.8
2,0.875,0.85,0.85,0.875,0.875
3,0.85,0.9,0.825,0.825,0.8
4,0.85,0.85,0.8,0.875,0.825
5,0.8,0.825,0.85,0.875,0.75
6,0.825,0.875,0.9,0.775,0.925
7,0.85,0.775,0.9,0.8,0.85
8,0.875,0.825,0.85,0.825,0.875
9,0.925,0.875,0.825,0.9,0.875
10,0.9,0.8,0.8,0.825,0.825
11,0.85,0.825,0.85,0.825,0.875
12,0.8,0.825,0.85,0.925,0.875
13,0.825,0.85,0.75,0.775,0.9
14,0.925,0.9,0.75,0.875,0.8
15,0.9,0.825,0.85,0.925,0.975
16,0.875,0.9,0.875,0.825,0.825
17,0.8,0.8,0.825,0.85,0.875
18,0.85,0.875,0.8,0.875,0.825
19,0.825,0.8,0.75,0.75,0.8
20,0.9,0.9,0.775,0.725,0.825
21,0.825,0.775,0.85,0.9,0.875
22,0.925,0.875,0.775,0.825,0.825
23,0.9,0.85,0.85,0.825,0.85
24,0.825,0.8,0.875,0.95,0.85
25,0.9,0.8,0.85,0.825,0.8
26,0.9,0.85,0.8,0.85,0.875
27,0.775,0.875,0.8,0.8,0.9
28,0.85,0.85,0.9,0.825,0.95
29,0.875,0.85,0.85,0.875,0.825
30,0.925,0.9,0.8,0.9,0.875
31,0.825,0.775,0.8,0.875,0.875
32,0.85,0.85,0.825,0.875,0.875
33,0.875,0.95,0.875,0.775,0.775
34,0.875,0.825,0.85,0.95,0.9
35,0.85,0.875,0.9,0.85,0.85
36,0.875,0.9,0.725,0.875,0.8
37,0.85,0.825,0.9,0.725,0.9
38,0.925,0.875,0.85,0.9,0.725
39,0.85,0.875,0.925,0.9,0.925
40,0.85,0.8,0.9,0.85,0.85
41,0.825,0.875,0.825,0.8,0.85
42,0.9,0.85,0.825,0.875,0.85
43,0.825,0.925,0.825,0.825,0.775
44,0.875,0.85,0.9,0.9,0.8
45,0.95,0.875,0.925,0.9,0.75
46,0.85,0.75,0.8,0.825,0.775
47,0.875,0.9,0.8,0.8,0.925
48,0.85,0.9,0.85,0.875,0.9
49,0.825,0.9,0.925,0.8,0.825
50,0.9,0.95,0.8,0.825,0.875
51,0.875,0.875,0.825,0.9,0.925
52,0.85,0.9,0.875,0.85,0.9
53,0.875,0.85,0.8,0.875,0.875
54,0.8,0.85,0.95,0.9,0.825
55,0.9,0.825,0.8,0.85,0.85
56,0.875,0.825,0.85,0.925,0.9
57,0.825,0.825,0.9,0.875,0.9
58,0.825,0.975,0.925,0.875,0.875
59,0.975,0.875,0.825,0.9,0.8
60,0.9,0.875,0.95,0.8,0.825
61,0.875,0.85,0.875,0.825,0.9
62,0.875,0.875,0.825,0.8,0.825
63,0.775,0.75,0.875,0.925,0.9
64,0.9,0.85,0.875,0.9,0.825
65,0.875,0.8,0.85,0.95,0.85
66,0.85,0.85,0.95,0.8,0.825
67,0.875,0.9,0.85,0.875,0.9
68,0.775,0.875,0.85,0.8,0.85
69,0.875,0.85,0.775,0.9,0.85
70,0.85,0.825,0.85,0.975,0.85
71,0.85,0.875,0.875,0.825,0.875
72,0.8,0.725,0.85,0.775,0.825
73,0.9,0.85,0.85,0.875,0.825
74,0.825,0.9,0.9,0.85,0.925
75,0.85,0.825,0.825,0.9,0.75
76,0.825,0.85,0.825,0.825,0.85
77,0.8,0.9,0.85,0.85,0.8
78,0.9,0.8,0.875,0.8,0.75
79,0.825,0.875,0.875,0.975,0.875
80,0.775,0.775,0.925,0.85,0.8
81,0.9,0.925,0.85,0.9,0.725
82,0.85,0.925,0.85,0.875,0.85
83,0.9,0.875,0.875,0.7,0.85
84,0.9,0.875,0.875,0.775,0.9
85,0.875,0.775,0.85,0.85,0.8
86,0.8,0.95,0.85,0.8,0.875
87,0.85,0.875,0.8,0.875,0.775
88,0.9,0.85,0.925,0.775,0.85
89,0.85,0.9,0.925,0.95,0.85
90,0.825,0.925,0.85,0.925,0.875
91,0.925,0.9,0.75,0.8,0.9
92,0.8,0.8,0.925,0.75,0.85
93,0.825,0.8,0.875,0.775,0.85
94,0.9,0.875,0.8,0.8,0.9
95,0.775,0.85,0.775,0.85,0.95
96,0.85,0.775,0.85,0.875,0.825
97,0.925,0.9,0.85,0.9,0.85
98,0.875,0.85,0.825,0.775,0.925
99,0.675,0.775,0.85,0.925,0.825
100,0.85,0.8,0.825,0.9,0.825
101,0.925,0.85,0.925,0.825,0.8
102,0.75,0.85,0.775,0.875,0.825
103,0.9,0.875,0.8,0.9,0.75
104,0.8,0.8,0.95,0.8,0.9
105,0.875,0.85,0.85,0.9,0.8
106,0.825,0.825,0.825,0.85,0.8
107,0.75,0.775,0.825,0.95,0.875
108,0.85,0.9,0.8,0.825,0.8
109,0.85,0.825,0.85,0.85,0.85
110,0.85,0.925,0.875,0.95,0.825
111,0.725,0.775,0.7,0.875,0.825
112,0.85,0.85,0.85,0.9,0.875
113,0.95,0.85,0.8,0.8,0.85
114,0.9,0.9,0.85,0.825,0.8
115,0.825,0.9,0.9,0.925,0.825
116,0.9,0.75,0.875,0.7,0.875
117,0.875,0.85,0.875,0.875,0.875
118,0.85,0.8,0.75,0.975,0.7
119,0.8,0.875,0.825,0.85,0.875
120,0.85,0.825,0.775,0.925,0.8
121,0.85,0.825,0.925,0.675,0.925
122,0.875,0.875,0.75,0.925,0.875
123,0.775,0.9,0.85,0.875,0.75
124,0.875,0.85,0.85,0.85,0.925
125,0.85,0.85,0.85,0.85,0.925
126,0.8,0.8,0.925,0.85,0.825
127,0.875,0.85,0.875,0.95,0.8
128,0.9,0.85,0.9,0.85,0.825
129,0.875,0.85,0.775,0.8,0.825
130,0.85,0.875,0.825,0.9,0.825
131,0.9,0.875,0.875,0.95,0.775
132,0.825,0.8,0.825,0.9,0.925
133,0.9,0.85,0.875,0.825,0.85
134,0.775,0.85,0.875,0.85,0.85
135,0.75,0.85,0.8,0.85,0.875
136,0.875,0.825,0.85,0.875,0.825
137,0.875,0.825,0.775,0.825,0.825
138,0.85,0.8,0.825,0.85,0.825
139,0.825,0.85,0.925,0.875,0.925
140,0.825,0.8,0.775,0.775,0.85
141,0.875,0.9,0.9,0.875,0.775
142,0.925,0.775,0.875,0.8,0.925
143,0.85,0.75,0.875,0.85,0.825
144,0.85,0.9,0.85,0.85,0.9
145,0.8,0.875,0.925,0.825,0.8
146,0.825,0.825,0.875,0.875,0.95
147,0.85,0.875,0.875,0.9,0.85
148,0.9,0.775,0.775,0.775,0.875
149,0.825,0.95,0.875,0.875,0.825
150,0.875,0.9,0.9,0.775,0.825
151,0.9,0.925,0.875,0.825,0.9
152,0.85,0.85,0.825,0.875,0.875
153,0.85,0.85,0.875,0.85,0.8
154,0.825,0.9,0.8,0.75,0.9
155,0.875,0.725,0.9,0.9,0.85
156,0.925,0.9,0.825,0.825,0.825
157,0.775,0.85,0.8,0.8,0.825
158,0.875,0.9,0.925,0.875,0.825
159,0.8,0.9,0.9,0.925,0.875
160,0.9,0.9,0.825,0.8,0.85
161,0.85,0.875,0.95,0.85,0.9
162,0.825,0.8,0.75,0.8,0.775
163,0.9,0.825,0.85,0.8,0.9
164,0.825,0.85,0.9,0.95,0.85
165,0.825,0.825,0.85,0.875,0.825
166,0.775,0.825,0.9,0.8,0.875
167,0.85,0.875,0.85,0.85,0.875
168,0.925,0.9,0.8,0.875,0.825
169,0.8,0.9,0.725,0.9,0.85
170,0.85,0.875,0.775,0.85,0.825
171,0.85,0.875,0.85,0.825,0.775
172,0.825,0.9,0.825,0.65,0.925
173,0.925,0.95,0.8,0.825,0.9
174,0.85,0.825,0.875,0.875,0.9
175,0.9,0.9,0.875,0.85,0.825
176,0.875,0.8,0.725,0.85,0.9
177,0.85,0.9,0.75,0.775,0.925
178,0.7,0.95,0.875,0.825,0.9
179,0.85,0.925,0.825,0.9,0.825
180,0.85,0.825,0.775,0.875,0.8
181,0.8,0.825,0.95,0.825,0.85
182,0.875,0.775,0.875,0.875,0.825
183,0.85,0.875,0.85,0.8,0.925
184,0.85,0.925,0.85,0.85,0.85
185,0.8,0.8,0.85,0.8,0.825
186,0.9,0.825,0.825,0.85,0.825
187,0.85,0.825,0.85,0.85,0.9
188,0.875,0.725,0.85,0.975,0.925
189,0.925,0.85,0.9,0.75,0.85
190,0.85,0.875,0.85,0.85,0.725
191,0.85,0.9,0.9,0.875,0.875
192,0.875,0.825,0.85,0.825,0.825
193,0.85,0.825,0.875,0.875,0.875
194,0.825,0.875,0.8,0.825,0.9
195,0.825,0.825,0.875,0.925,0.75
196,0.85,0.825,0.825,0.8,0.825
197,0.875,0.9,0.775,0.85,0.825
198,0.85,0.875,0.7,0.875,0.8
199,0.875,0.825,0.925,0.7,0.85
200,0.85,0.875,0.85,0.775,0.875
201,0.9,0.8,0.8,0.825,0.75
202,0.85,0.9,0.7,0.9,0.775
203,0.85,0.85,0.9,0.9,0.875
204,0.775,0.75,0.825,0.875,0.8
205,0.75,0.825,0.8,0.875,0.875
206,0.875,0.775,0.825,0.8,0.9
207,0.8,0.9,0.975,0.9,0.825
208,0.8,0.875,0.775,0.825,0.925
209,0.825,0.85,0.85,0.95,0.725
210,0.825,0.775,0.85,0.725,0.875
211,0.875,0.875,0.775,0.875,0.9
212,0.85,0.85,0.775,0.85,0.85
213,0.85,0.825,0.775,0.8,0.8
214,0.85,0.95,0.925,0.9,0.875
215,0.825,0.875,0.8,0.8,0.75
216,0.95,0.875,0.8,0.85,0.925
217,0.875,0.95,0.875,0.925,0.775
218,0.85,0.8,0.825,0.825,0.85
219,0.875,0.775,0.875,0.85,0.9
220,0.85,0.875,0.9,0.9,0.875
221,0.825,0.825,0.8,0.825,0.8
222,0.85,0.85,0.8,0.775,0.85
223,0.875,0.825,0.85,0.825,0.9
224,0.95,0.85,0.85,0.925,0.85
225,0.75,0.925,0.825,0.8,0.925
226,0.875,0.825,0.8,0.9,0.975
227,0.925,0.85,0.825,0.85,0.8
228,0.825,0.85,0.825,0.825,0.825
229,0.825,0.825,0.85,0.95,0.85
230,0.825,0.875,0.925,0.95,0.775
231,0.75,0.9,0.875,0.825,0.95
232,0.9,0.925,0.85,0.8,0.825
233,0.9,0.825,0.875,0.7,0.825
234,0.8,0.825,0.875,0.9,0.95
235,0.85,0.825,0.85,0.875,0.9
236,0.775,0.85,0.8,0.875,0.875
237,0.85,0.85,0.975,0.875,0.875
238,0.9,0.9,0.9,0.75,0.8
239,0.85,0.75,0.825,0.85,0.85
240,0.95,0.875,0.825,0.9,0.825
241,0.8,0.775,0.875,0.925,0.925
242,0.825,0.85,0.775,0.8,0.875
243,0.85,0.8,0.875,0.8,0.875
244,0.85,0.95,0.9,0.825,0.9
245,0.9,0.85,0.925,0.875,0.85
246,0.825,0.85,0.85,0.925,0.825
247,0.875,0.95,0.8,0.9,0.9
248,0.925,0.775,0.775,0.95,0.825
249,0.775,0.9,0.85,0.725,0.825
250,0.75,0.875,0.85,0.85,0.925
251,0.9,0.925,0.925,0.85,0.85
252,0.8,0.8,0.875,0.85,0.875
253,0.8,0.8,0.775,0.875,0.8
254,0.9,0.9,0.85,0.9,0.8
255,0.8,0.8,0.775,0.875,0.85
256,0.875,0.85,0.875,0.85,0.875
257,0.875,0.875,0.875,0.775,0.825
258,0.8,0.875,0.8,0.925,0.9
259,0.825,0.825,0.825,0.875,0.85
260,0.8,0.875,0.825,0.825,0.875
261,0.85,0.875,0.9,0.8,0.85
262,0.825,0.8,0.75,0.8,0.8
263,0.925,0.875,0.875,0.85,0.8
264,0.875,0.85,0.85,0.825,0.8
265,0.85,0.85,0.85,0.8,0.85
266,0.875,0.8,0.85,0.85,0.8
267,0.85,0.85,0.85,0.875,0.825
268,0.8,0.85,0.875,0.85,0.975
269,0.925,0.9,0.925,0.875,0.85
270,0.775,0.85,0.85,0.9,0.85
271,0.9,0.875,0.9,0.85,0.875
272,0.875,0.775,0.825,0.875,0.875
273,0.925,0.875,0.85,0.925,0.75
274,0.85,0.875,0.925,0.8,0.85
275,0.825,0.85,0.825,0.875,0.825
276,0.9,0.875,0.75,0.875,0.9
277,0.875,0.7,0.825,0.825,0.85
278,0.8,0.85,0.925,0.775,0.8
279,0.875,0.95,0.875,0.9,0.925
280,0.875,0.9,0.9,0.85,0.875
281,0.875,0.825,0.825,0.85,0.875
282,0.875,0.8,0.85,0.825,0.875
283,0.85,0.95,0.85,0.875,0.875
284,0.75,0.875,0.875,0.9,0.875
285,0.85,0.8,0.9,0.8,0.775
286,0.8,0.85,0.875,0.825,0.85
287,0.9,0.8,0.85,0.85,0.9
288,0.725,0.875,0.75,0.85,0.8
289,0.95,0.85,0.85,0.875,0.875
290,0.875,0.95,0.85,0.875,0.825
291,0.825,0.825,0.825,0.825,0.85
292,0.875,0.85,0.85,0.85,0.825
293,0.8,0.875,0.825,0.9,0.85
294,0.875,0.85,0.9,0.75,0.95
295,0.925,0.9,0.825,0.85,0.8
296,0.8,0.825,0.85,0.9,0.825
297,0.825,0.875,0.775,0.875,0.95
298,0.85,0.8,0.85,0.875,0.8
299,0.85,0.925,0.825,0.9,0.825
300,0.875,0.9,0.875,0.8,0.775
301,0.875,0.875,0.9,0.9,0.775
302,0.775,0.85,0.825,0.875,0.85
303,0.825,0.775,0.825,0.775,0.9
304,0.825,0.875,0.925,0.925,0.95
305,0.75,0.9,0.85,0.925,0.775
306,0.95,0.775,0.85,0.825,0.775
307,0.775,0.975,0.875,0.8,0.8
308,0.9,0.825,0.775,0.875,0.9
309,0.85,0.725,0.875,0.9,0.85
310,0.8,0.775,0.825,0.875,0.85
311,0.975,0.925,0.85,0.9,0.85
312,0.8,0.875,0.85,0.8,0.825
313,0.75,0.775,0.875,0.85,0.825
314,0.9,0.825,0.825,0.775,0.875
315,0.9,0.9,0.875,0.925,0.825
316,0.875,0.825,0.85,0.875,0.95
317,0.925,0.9,0.875,0.825,0.775
318,0.825,0.8,0.85,0.8,0.95
319,0.825,0.875,0.75,0.75,0.8
320,0.825,0.825,0.9,0.9,0.85
321,0.875,0.875,0.85,0.825,0.9
322,0.9,0.9,0.825,0.875,0.875
323,0.8,0.8,0.925,0.825,0.75
324,0.875,0.85,0.8,0.775,0.875
325,0.75,0.8,0.875,0.8,0.9
326,0.875,0.875,0.85,0.925,0.8
327,0.875,0.9,0.775,0.875,0.85
328,0.875,0.8,0.925,0.875,0.925
329,0.8,0.85,0.875,0.825,0.925
330,0.9,0.875,0.8,0.8,0.825
331,0.9,0.9,0.8,0.875,0.875
332,0.85,0.8,0.925,0.75,0.875
333,0.85,0.9,0.825,0.725,0.85
334,0.85,0.775,0.85,0.9,0.85
335,0.825,0.875,0.9,0.775,0.875
336,0.875,0.8,0.75,0.925,0.9
337,0.85,0.775,0.9,0.675,0.775
338,0.8,0.875,0.825,0.825,0.85
339,0.85,0.925,0.925,0.85,0.85
340,0.925,0.8,0.85,0.875,0.85
341,0.725,0.875,0.875,0.775,0.875
342,0.9,0.875,0.8,0.775,0.925
343,0.8,0.9,0.8,0.925,0.85
344,0.875,0.85,0.75,0.825,0.875
345,0.825,0.9,0.85,0.875,0.825
346,0.85,0.8,0.925,0.85,0.875
347,0.95,0.85,0.75,0.8,0.85
348,0.825,0.925,0.85,0.975,0.875
349,0.9,0.8,0.85,0.825,0.85
350,0.925,0.825,0.825,0.875,0.875
351,0.825,0.8,0.85,0.775,0.925
352,0.85,0.9,0.825,0.875,0.825
353,0.875,0.825,0.825,0.9,0.8
354,0.85,0.825,0.9,0.875,0.875
355,0.925,0.85,0.9,0.825,0.85
356,0.85,0.825,0.85,0.85,0.8
357,0.725,0.825,0.825,0.85,0.85
358,0.875,0.9,0.9,0.85,0.775
359,0.875,0.875,0.8,0.9,0.875
360,0.875,0.925,0.875,0.775,0.925
361,0.775,0.9,0.8,0.875,0.9
362,0.825,0.825,0.875,0.825,0.675
363,0.925,0.775,0.9,0.875,0.85
364,0.95,0.75,0.8,0.7,0.875
365,0.9,0.85,0.875,0.95,0.85
366,0.725,0.725,0.85,0.825,0.725
367,0.8,0.9,0.85,0.825,0.875
368,0.875,0.875,0.825,0.95,0.85
369,0.9,0.85,0.825,0.825,0.775
370,0.825,0.875,0.825,0.825,0.75
371,0.825,0.85,0.9,0.775,0.9
372,0.9,0.825,0.875,0.8,0.875
373,0.825,0.875,0.9,0.9,0.825
374,0.875,0.825,0.9,0.825,0.825
375,0.95,0.875,0.875,0.95,0.925
376,0.8,0.85,0.775,0.8,0.875
377,0.85,0.825,0.775,0.825,0.825
378,0.85,0.825,0.8,0.825,0.825
379,0.85,0.875,0.9,0.875,0.775
380,0.85,0.825,0.9,0.875,0.9
381,0.85,0.875,0.85,0.85,0.7
382,0.875,0.9,0.85,0.875,0.8
383,0.9,0.825,0.85,0.85,0.9
384,0.75,0.925,0.85,0.925,0.975
385,0.85,0.75,0.85,0.9,0.825
386,0.825,0.825,0.925,0.825,0.875
387,0.9,0.85,0.9,0.925,0.9
388,0.775,0.925,0.75,0.825,0.875
389,0.9,0.875,0.8,0.9,0.875
390,0.85,0.9,0.925,0.9,0.825
391,0.95,0.9,0.85,0.85,0.875
392,0.8,0.775,0.875,0.85,0.8
393,0.9,0.85,0.875,0.75,0.9
394,0.85,0.9,0.8,0.825,0.75
395,0.875,0.825,0.85,0.85,0.85
396,0.825,0.9,0.925,0.85,0.95
397,0.875,0.925,0.85,0.9,0.925
398,0.775,0.775,0.85,0.775,0.875
399,0.85,0.8,0.875,0.875,0.65
400,0.8,0.85,0.875,0.85,0.875
401,0.825,0.875,0.85,0.9,0.8
402,0.875,0.9,0.9,0.825,0.9
403,0.875,0.8,0.8,0.775,0.8
404,0.875,0.825,0.825,0.875,0.925
405,0.85,0.8,0.85,0.925,0.875
406,0.875,0.85,0.825,0.725,0.825
407,0.825,0.825,0.875,0.9,0.675
408,0.825,0.875,0.825,0.875,0.85
409,0.85,0.85,0.8,0.85,0.875
410,0.9,0.85,0.775,0.9,0.8
411,0.85,0.875,0.875,0.9,0.85
412,0.725,0.825,0.825,0.875,0.85
413,0.9,0.775,0.9,0.85,0.9
414,0.875,0.9,0.825,0.775,0.85
415,0.9,0.825,0.875,0.775,0.875
416,0.825,0.775,0.825,0.8,0.9
417,0.925,0.875,0.75,0.875,0.775
418,0.8,0.875,0.925,0.825,0.825
419,0.9,0.9,0.925,0.85,0.825
420,0.875,0.875,0.95,0.875,0.825
421,0.775,0.85,0.85,0.85,0.825
422,0.9,0.85,0.825,0.8,0.85
423,0.825,0.85,0.875,0.875,0.8
424,0.9,0.875,0.8,0.8,0.85
425,0.85,0.825,0.85,0.875,0.875
426,0.875,0.825,0.825,0.925,0.875
427,0.85,0.875,0.85,0.825,0.875
428,0.825,0.775,0.8,0.875,0.825
429,0.9,0.95,0.9,0.875,0.725
430,0.825,0.875,0.925,0.875,0.725
431,0.775,0.85,0.825,0.85,0.8
432,0.875,0.8,0.875,0.775,0.85
433,0.9,0.925,0.85,0.775,0.925
434,0.85,0.8,0.825,0.9,0.875
435,0.925,0.85,0.85,0.8,0.875
436,0.875,0.9,0.75,0.925,0.875
437,0.85,0.775,0.85,0.9,0.825
438,0.85,0.825,0.9,0.9,0.875
439,0.775,0.825,0.875,0.85,0.825
440,0.85,0.85,0.9,0.825,0.875
441,0.875,0.9,0.825,0.975,0.85
442,0.85,0.85,0.925,0.875,0.925
443,0.925,0.9,0.825,0.8,0.9
444,0.8,0.875,0.75,0.825,0.85
445,0.85,0.9,0.75,0.8,0.8
446,0.825,0.875,0.95,0.85,0.85
447,0.95,0.825,0.825,0.9,0.925
448,0.825,0.825,0.825,0.925,0.875
